ID_MEDICAMENTO,DESCRIPCION,PRECIO_UNITARIO,INVENTARIO
80,ÁCIDO ASCÓRBICO COMPRIMIDOS MASTICABLES 100 mg,81223,78
81,ÁCIDO ASCÓRBICO COMPRIMIDOS MASTICABLES 500 mg,25962,84
82,TOCALM PEDIÁTRICO JARABE 15 mg/5 mL,78129,45
83,"MERPAL GEL TÓPICO 1,16%",85801,61
84,TOCALM ADULTO JARABE 30 mg/5 mL,92271,57
85,CLARAGINE COMPRIMIDOS,36338,32
86,GASOPAX COMPRIMIDOS MASTICABLES,64848,35
87,AGUA PARA INYECTABLES,74341,25
88,VASELINA ESTÉRIL ACEITE TÓPICO,56584,35
89,CALADRYL CLEAR LOCIÓN TÓPICA,87170,89
90,CAPRIMIDA COMPRIMIDOS RECUBIERTOS 500 mg,82165,21
91,CAPRIMIDA - D COMPRIMIDOS RECUBIERTOS,97410,90
92,NIOFEN FORTE SUSPENSIÓN ORAL 200 mg/5 mL,40308,81
93,NIOFEN SUSPENSIÓN ORAL 100 mg/5 mL,20217,46
94,PARACETAMOL SOLUCIÓN GOTAS ORALES 100 mg/mL,99036,38
95,PURSENID GRAGEAS,23677,60
96,AMBROTOS JARABE 15 mg/5 mL,16271,72
97,WINASORB CAPLETAS 500 mg,30320,36
98,"DOLOKETAZON GEL 2,5%",98238,76
99,NEOGASOL EMULSIÓN PARA GOTAS ORALES 4%,62195,61
100,AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL,71895,86
101,AMBROXOL CLORHIDRATO JARABE FORTE 30 mg/5 mL,89439,71
102,ZOLBENFLASH COMPRIMIDOS,72548,34
103,IBUPROFENO SUSPENSIÓN ORAL 100 mg/5 mL,26271,52
104,BENYLIN JARABE,66034,39
105,ÁCIDO ACETILSALICÍLICO COMPRIMIDOS RECUBIERTOS 324 mg,20943,6
106,ACTIVATOR COMPRIMIDOS RECUBIERTOS,64208,18
107,ALITEN SOLUCIÓN TÓPICA,60864,35
108,HIDRÓXIDO DE ALUMINIO GEL COMPRIMIDOS 500 mg,47788,69
109,COTIBIN FLU POLVO PARA SOLUCIÓN ORAL,18377,67
110,"DURANIL SOLUCIÓN BUCAL 0,1%",57518,87
111,CLARIMIR PLUS SOLUCIÓN OFTÁLMICA,60311,0
112,CROTAMITON CREMA 10%,70821,23
113,CROTAMITON LOCIÓN 10%,88163,11
114,"PSYLLIUM PULVERIZADO + VASELINA LÍQUIDA MICROENCAPSULADA, POLVO PARA SUSPENSIÓN ORAL",39972,20
115,ELCAL - D CÁPSULAS,79846,67
116,ELISARN LOCIÓN 5%,39981,7
117,FLOGOJET GEL TÓPICO 5%,16287,38
118,FLUCRIT COMPRIMIDOS,20838,97
119,FLUIBRON SOLUCIÓN PARA GOTAS ORALES,11344,94
120,FLUJOCER COMPRIMIDOS RECUBIERTOS 324 mg,73164,82
121,GASORBOL COMPRIMIDOS MASTICABLES 100 mg,14867,4
122,KILNITS CREMA 1%,37332,23
123,KILNITS SHAMPOO 1%,30985,63
124,KIN CREMA 5%,90231,32
125,KIN GEL 5%,65661,27
126,METAMIZOL SÓDICO 300 mg COMPRIMIDOS,17606,82
127,METAMIZOL SÓDICO (DIPIRONA) SUPOSITORIOS 250 mg,64116,17
128,PARACETAMOL CON ÁCIDO ACETILSALICÍLICO Y CAFEÍNA COMPRIMIDOS RECUBIERTOS,72558,69
129,PARACETAMOL  JARABE 120 mg/5 mL,74117,67
130,PEDIADERM POMADA,66650,43
131,POVIDONA YODADA 10% SOLUCIÓN ESPUMANTE,70522,46
132,POLIVITAMÍNICO CON MINERALES JARABE,41315,20
133,MAPROMIL COMPRIMIDOS RECUBIERTOS,49331,15
134,POLIVITAMÍNICO JARABE,55923,89
135,REGEDERM POMADA,11493,13
136,"HIDRATANTE ORAL, SOLUCIÓN",99936,86
137,SALES PARA REHIDRATACIÓN 60 POLVO PARA SOLUCIÓN ORAL,72415,41
138,SEDOTUS JARABE,80018,1
139,TIFEN PEDIÁTRICO SUSPENSIÓN ORAL 100 mg/5 mL,78618,17
140,VITACAR CÁPSULAS,26383,62
141,FITIBRONC JARABE,28212,100
142,HANSAPLAST APÓSITO 40%,43996,77
143,HANSAPLAST PARCHE AL 40%,43058,15
144,CARBAMIDA PEROXIDO GEL TÓPICO 10%,13848,6
145,METAPIO FILM SOLUCIÓN TÓPICA,33028,89
146,GALUTEC DILUIDO COLUTORIO,53170,30
147,CROWNE-F PASTA DENTAL,63248,88
148,GEL SALINO ENDONASAL,64234,57
149,SEDOFLAX SUSPENSIÓN ORAL PARA GOTAS 40 mg/mL,54118,71
150,BROMHEXINA CLORHIDRATO JARABE 4 mg/5 mL,73038,53
151,PARACETAMOL SOLUCIÓN ORAL PARA GOTAS 100 mg/mL,18360,39
152,POMADA AZUFRADA 10%,87447,43
153,"GLICERINA ADULTOS SUPOSITORIOS 2,9 g",25022,4
154,"GLICERINA PEDIÁTRICA SUPOSITORIOS 0,875 g",20863,53
155,TALCO MENTOLADO POLVO TÓPICO 2%,34724,32
156,PERMETRINA CHAMPÚ PEDICULICIDA 1%,20896,35
157,ALCOHOL ALCANFORADO 10% P/P,94548,98
158,"ALCOHOL YODADO SOLUCIÓN TÓPICA 0,25%",51934,39
159,"ALCOHOL YODADO 0,65%",12411,88
160,AFTER BITE SOLUCIÓN USO TÓPICO,57854,67
161,CARDIASA COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 75 mg,86159,16
162,CARDIASA COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 100 mg,82949,28
163,CARDIASA COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN RETARDADA 324 mg,79652,86
164,GLICERINA ANHIDRA SOLUCIÓN PARA GOTAS ÓTICAS,50337,0
165,BREXON UNGÜENTO DÉRMICO,38868,80
166,HEMOSTAT BARRA,72151,99
167,SOLARCAINE LOCIÓN TÓPICA.,83425,99
168,NITRATO DE POTASIO 5% GEL DENTAL,92065,92
169,NITRATO DE POTASIO 5% PASTA DENTAL,40337,45
170,PARACETAMOL/ÁCIDO ACETIL SALICÍLICO COMPRIMIDOS,60862,93
171,"SINARTROL CREMA 1,5%",35601,79
172,VITAMINAS A Y D2 CREMA TÓPICA,29679,50
173,"VITAMINAS A D3, ALANTOÍNA Y CLORURO DE BENZETONIO EMULSIÓN DÉRMICA",47804,62
174,POMADA AMARILLA OFTÁLMICA 2%,23869,70
175,VITAMINA C 1000 mg COMPRIMIDOS RECUBIERTOS,25367,67
176,METAMIZOL SÓDICO SUPOSITORIOS 250 mg,35925,95
177,DICLOFENACO SÓDICO GEL TÓPICO 1%,22739,4
178,HIDRÓXIDO DE ALUMINIO COMPRIMIDOS MASTICABLES 500 mg,36769,73
179,HIDRÓXIDO DE ALUMINIO SUSPENSIÓN ORAL 6%,80290,75
180,PARACETAMOL SOLUCIÓN PARA GOTAS ORALES 100 mg/mL,36742,31
181,PARACETAMOL JARABE 100 mg/5 mL,90646,85
182,LEVUCAL COMPRIMIDOS MASTICABLES 500 mg,66816,69
183,"GLICERINA ADULTOS SUPOSITORIOS 2,31 g",70348,97
184,FRUTASAL KNOP POLVO,85346,22
185,ACEITE DE HÍGADO DE BACALAO CON VITAMINAS A Y D CÁPSULAS BLANDAS,28325,76
186,PARACETAMOL 250 mg SUPOSITORIOS,60076,26
187,PARACETAMOL 125 mg SUPOSITORIOS,61560,86
188,PARACETAMOL SOLUCIÓN PARA GOTAS ORALES 100 mg/mL,70301,7
189,ALCOHOL YODADO 1% SOLUCIÓN PARA USO EXTERNO,57088,24
190,SINFLU COMPRIMIDOS 500 mg,71767,50
191,POMADA ALCANFORADA AL 10%,18375,63
192,POMADA DE SALICILATO DE METILO AL 10%,11297,7
193,T.R.O. SALES PARA REHIDRATACIÓN ORAL 60 mEq/L SODIO,61879,72
194,DONEGAL SUSPENSIÓN PARA GOTAS 10 mg/mL,28546,37
195,DUOFILM SOLUCIÓN TÓPICA,96943,46
196,PANAGESIC CON CAFEÍNA 250/20,25875,67
197,PANAGESIC CON CAFEÍNA 400/33 COMPRIMIDOS,53130,65
198,PANAGESIC COMPRIMIDOS MASTICABLES 80 mg,41204,66
199,PANAGESIC COMPRIMIDOS MASTICABLES 160 mg,54551,14
200,PANAGESIC JARABE 160 mg/5 mL,32742,0
201,PANAGESIC SOLUCIÓN ORAL PARA GOTAS 100 mg/mL,60224,87
202,SICATREX CREMA DÉRMICA,53739,89
203,SOLARCAINE ALOE EXTRA GEL TÓPICO CON LIDOCAÍNA,44093,83
204,CLORHEXIDINA CLORHIDRATO NOSCAPINA COMPRIMIDOS MASTICABLES,62428,2
205,CLORHEXIDINA CLORHIDRATO COMPRIMIDOS MASTICABLES 5 mg,62921,86
206,PARACETAMOL SOLUCIÓN ORAL PARA GOTAS 100 mg/mL,30096,42
207,MADECASSOL CREMA 1%,56202,21
208,AGUA DEL CARMEN SOLUCIÓN ORAL,64062,80
209,BÁLSAMO ANALGÉSICO PASTEUR UNGÜENTO TÓPICO,39817,91
210,DOMPERIDONA COMPRIMIDOS 10 mg,23006,66
211,"FLUDROP SOLUCIÓN NASAL 0,9%",55897,19
212,ADOLEXMED - CELL COMPRIMIDOS DE DISOLUCIÓN BUCAL,77808,23
213,FRUNALIA POLVO EFERVESCENTE,70995,57
214,"LECHE DE MAGNESIA PASTEUR SUSPENSIÓN ORAL 7,5%",90289,57
215,TABLETAS ANTIÁCIDAS PASTEUR COMPRIMIDOS MASTICABLES 500 mg,65019,56
216,RETINOL + TIAMINA CLORHIDRATO + RIBOFLAVINA + PIRIDOXINA CLORHIDRATO + ÁCIDO ASCÓRBICO + ERGOCALCIFEROL + ÁCIDO FÓLICO + NICOTINAMIDA + PANTOTENATO CÁLCICO JARABE,26104,17
217,RETINOL + TIAMINA CLORHIDRATO + RIBOFLAVINA + PIRIDOXINA CLORHIDRATO + ÁCIDO ASCÓRBICO + ERGOCALCIFEROL + ÁCIDO FÓLICO + NICOTINAMIDA + PANTOTENATO CÁLCICO COMPRIMIDOS RECUBIERTOS,45349,16
218,MENTHOSE UNGÜENTO,62764,83
219,NAPROXENO SUPOSITORIOS INFANTILES 50 mg,46517,0
220,PECTORAL PASTEUR JARABE 20 mg/mL,93298,88
221,VISIOCALM SOLUCIÓN OFTÁLMICA,51793,87
222,PIRETANYL COMPRIMIDOS,64469,13
223,NAPROXENO COMPRIMIDOS RECUBIERTOS 100 mg,31726,73
224,SANOVAL - TAB COMPRIMIDOS RECUBIERTOS 275 mg,62443,89
225,"TAPSIN COMPUESTO DÍA PLUS POLVO PARA SOLUCIÓN ORAL, EN SOBRES",37534,57
226,"TAPSIN COMPUESTO NOCHE PLUS POLVO PARA SOLUCIÓN ORAL, EN SOBRES",30276,29
227,MINTAGLOS POMADA DÉRMICA,57196,4
228,TÓNICO PASTEUR JARABE,40119,75
229,ORTOXINE SABOR FRAMBUESA COMPRIMIDOS DE DISOLUCIÓN BUCAL 5 mg.,65886,66
230,ORTOXINE SABOR NARANJA COMPRIMIDOS DE DISOLUCIÓN BUCAL 5 mg.,68196,20
231,ORTOXINE SABOR MENTOL COMPRIMIDOS DE DISOLUCIÓN BUCAL 5 mg,23324,4
232,ORTOXINE SABOR MIEL + LIMÓN COMPRIMIDOS DE DISOLUCIÓN BUCAL 5 mg,64960,58
233,"TRICLOSÁN JABÓN LÍQUIDO 0,5%",60754,44
234,ALCOHOL GEL ANTISÉPTICO 75%,53668,72
235,CLORHEXIDINA GLUCONATO JABÓN LÍQUIDO 2%,23081,7
236,CLORHEXIDINA GLUCONATO JABÓN LÍQUIDO 4%,73236,29
237,EFERFRUTA POLVO EFERVESCENTE,94819,86
238,EFERFRUTA SABOR LIMÓN POLVO EFERVESCENTE,90955,26
239,KITADOL MAX COMPRIMIDOS RECUBIERTOS,35451,10
240,ZOFEX TOS COMPRIMIDOS DE DISOLUCIÓN BUCAL,95344,97
241,SENTUAL PERIODO COMPRIMIDOS,63706,11
242,PANAGESIC CON CAFEÍNA 500/50 COMPRIMIDOS,22395,67
243,"JABÓN YODADO 1.8 SOLUCIÓN TÓPICA 0,8 %",74870,5
244,FASACNE GEL DÉRMICO 5%,40317,39
245,GRIPEXIN COMPUESTO NUEVA FÓRMULA SIN CLORFENAMINA POLVO PARA SOLUCIÓN ORAL EN SOBRES,78992,38
246,"DICLOFENACO DIETILAMINA GEL TÓPICO 1,16%",49726,87
247,HI-C CÁPSULAS 500 mg,14886,32
248,PERIOAID CON CLORURO DE CETILPIRIDINIO TRATAMIENTO COLUTORIO,71600,98
249,"DOLOFAR GEL TÓPICO 2,5%",28740,37
250,MINFADEN COMPRIMIDOS,92912,72
251,AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL,11568,0
252,ÁCIDO DEHIDROCÓLICO COMPRIMIDOS 250 mg,86212,39
253,SANIGERMIN TRICLOSAN JABÓN,15483,26
254,BACILAN POLVO,31047,40
255,LERFIMIN UNGÜENTO DÉRMICO,89754,46
256,PHARMALATUM SOLUCIÓN PARA INHALACIÓN,81200,94
257,NAPROXENO GEL TÓPICO 10%,98022,33
258,REPELEX AEROSOL,66732,49
259,PARACETAMOL COMPRIMIDOS 500 mg,23142,22
260,BRASITON CREMA,75778,53
261,AGUA MELISSA CARMINATIVA SOLUCIÓN,85234,31
262,AGUA OXIGENADA 10 VOLÚMENES SOLUCIÓN TÓPICA,30028,24
263,IBUPROFENO COMPRIMIDOS 200 mg,37450,20
264,TRIOX N.F. INFANTIL COMPRIMIDOS RECUBIERTOS 100 mg,94935,6
265,NAPROXENO SÓDICO COMPRIMIDOS RECUBIERTOS 275 mg,47218,16
266,"FASALIMP SOLUCIÓN NASAL 0,9%",20651,6
267,"NASAKID SOLUCIÓN NASAL 0,9%",84361,24
268,MALTOFER VITAMINADO JARABE,40429,4
269,RINOKID SOLUCIÓN NASAL PARA NEBULIZACIÓN 3%,81507,24
270,DERMAC CREMA DÉRMICA,47312,82
271,MINTA-C COMPRIMIDOS MASTICABLES 100 mg,12847,7
272,ÁCIDO ACETILSALICÍLICO COMPRIMIDOS 500 mg,38109,69
273,"ZETADOL COMPUESTO ANTIGRIPAL NOCHE POLVO PARA SUSPENSIÓN ORAL, EN SOBRES",89840,85
274,"ZETADOL COMPUESTO ANTIGRIPAL DÍA POLVO PARA SOLUCIÓN ORAL, EN SOBRES",91319,24
275,TAPSIN CÁPSULAS BLANDAS,53611,95
276,CEBION SABOR LIMÓN COMPRIMIDOS MASTICABLES 500 mg,96239,75
277,CEBION SABOR MARACUYA COMPRIMIDOS MASTICABLES 500 mg,44040,25
278,CEBION SABOR MANDARINA COMPRIMIDOS MASTICABLES 500 mg,77451,5
279,TEARS NATURALE FORTE SOLUCIÓN OFTÁLMICA,81798,39
280,PREDUAL TEEN COMPRIMIDOS,28152,2
281,PANADOL ACTIRAPID COMPRIMIDOS RECUBIERTOS 500 mg,67922,84
282,DERMALIV CREMA TÓPICA,38906,53
283,TAPSIN SIN CAFEÍNA COMPRIMIDOS MASTICABLE 160 mg,12985,53
284,NUM - ZIT 5 SOLUCIÓN PARA GOTAS ORALES 5 mg/ mL,13962,81
285,FRIORUB CON IBUPROFENO GEL TÓPICO,65797,27
286,FORTEVITA JARABE,84678,35
287,VASELINA LÍQUIDA MEDICINAL,87487,4
288,TALCO ANTIMICÓTICO,70260,52
289,HEADOL MUJER COMPRIMIDOS,47204,34
290,LIP RELIEF UNGÜENTO TÓPICO,47102,89
291,TEARS LÁGRIMAS NATURALES SOLUCIÓN OFTÁLMICA.,48413,38
292,"RINOSTERYL SOLUCIÓN NASAL 0,9%",83824,87
293,"ALCOLEX GEL DÉRMICO 0,1 %",51734,51
294,DISGREN COMPRIMIDOS DE LIBERACIÓN PROLONGADA 325 mg.,84544,21
295,DENTILIM - DBD COMPRIMIDOS DE DISOLUCIÓN BUCAL 5 mg,49679,21
296,ELCAL-D PLUS CÁPSULAS,55164,95
297,MUCOANGIN COMPRIMIDOS PARA DISOLUCIÓN BUCAL 20 mg,47471,59
298,MAALOX PLUS SUSPENSIÓN ORAL,99140,53
299,DOLIDER COMPRIMIDOS,41141,97
300,METAMIZOL SÓDICO MONOHIDRATO COMPRIMIDOS 300 mg,80424,2
301,SENSAID GEL DENTIFRICO,51507,5
302,IBUPROFENO SUSPENSIÓN ORAL 100 mg/5 mL,22406,90
303,CAPRIMIDA DUO CÁPSULAS BLANDAS 330 mg,59383,36
304,GETRICIN COMPRIMIDOS,25637,79
305,METAMIZOL SÓDICO SUPOSITORIOS 250 mg,81214,23
306,HIPERFLEX COMPRIMIDOS,62107,43
307,HIPERFLEX FORTE COMPRIMIDOS,64353,31
308,FINARTRIT COMPRIMIDOS,85612,12
309,COTIBIN ANTIGRIPAL COMPRIMIDOS RECUBIERTOS,10514,53
310,"COTIBIN FLU DÍA POLVO PARA SOLUCIÓN ORAL, EN SOBRES",62237,88
311,"COTIBIN FLU NOCHE POLVO PARA SOLUCIÓN ORAL, EN SOBRES",93980,9
312,CEBION SABOR NARANJA COMPRIMIDOS MASTICABLES 500 mg,70830,76
313,ÁCIDO DEHIDROCÓLICO COMPRIMIDOS 250 mg,76290,86
314,LEVUCAL INSTANT GRANULADO PARA SOLUCIÓN ORAL,24252,22
315,LEVUCAL INSTANT GRANULADO PARA SOLUCIÓN ORAL 1 g,21193,75
316,SUERO ORAL HIDRAPLUS 30 SABOR FRESA SOLUCIÓN ORAL,19680,38
317,SUERO ORAL HIDRAPLUS 30 SABOR UVA SOLUCIÓN ORAL,56201,14
318,SUERO ORAL HIDRA 90 SABOR UVA SOLUCIÓN ORAL,31726,7
319,ALUMINIO HIDRÓXIDO GEL COMPRIMIDOS MASTICABLES 500 mg,20359,78
320,PYRIPED FORTE SUSPENSIÓN ORAL 200 mg/5 mL,40032,24
321,ALUMINIO HIDRÓXIDO SUSPENSIÓN ORAL 6%,90732,18
322,ADVIL CÁPSULAS BLANDAS 200 mg,92512,69
323,PUNTUAL COMPRIMIDOS 500 mg,63022,88
324,DISFRUTAB ANTIGAS FRUTILLA COMPRIMIDOS MASTICABLES,63738,35
325,DISFRUTAB ANTIGAS LIMA-LIMÓN COMPRIMIDOS MASTICABLES,29043,62
326,DISFRUTAB ANTIGAS MULTISABOR COMPRIMIDOS MASTICABLES,32174,89
327,GELICOL GEL 70%,76100,95
328,OSTEOCAPS CÁPSULAS BLANDAS,99987,17
329,ÁCIDO ACETILSALICÍLICO COMPRIMIDOS MASTICABLES 100 mg,80374,45
330,BARALGINA M COMPRIMIDOS 500 mg,49993,8
331,ZINCOVIT JARABE,19152,5
332,BARALGINA M SOLUCIÓN PARA GOTAS ORALES 500 mg/mL,38597,72
333,NORALINA CÁPSULAS BLANDAS,50111,84
334,GENIOL  SOLUCIÓN ORAL PARA GOTAS 100 mg/mL,14119,66
335,GESIPROCT CREMA RECTAL,71224,95
336,"PARACETAMOL, PAMABROM, MEPIRAMINA MALEATO COMPRIMIDOS",32325,64
337,IBUPROFENO SUSPENSIÓN ORAL 200 mg/5 mL,32461,2
338,ENO PLUS LIMÓN COMPRIMIDOS EFERVESCENTES.,15637,88
339,DOLKITOL COMPRIMIDOS 500 mg,51885,78
340,SALONPAS GEL PARCHE-TÓPICO,58043,44
341,FEBRICOL SUSPENSIÓN ORAL 200 mg/5 mL,69637,16
342,NOVALGINA JARABE 250 mg/5 mL,12213,13
343,BABY KANK-A GEL BUCAL 10%,75578,23
344,IBUPROFENO SUSPENSIÓN ORAL 100 mg/5 mL,50253,7
345,PROASA-75 CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 75 mg,40908,34
346,PROASA-100 CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 100 mg,30781,67
347,SALES PARA REHIDRATACIÓN ORAL-90 POLVO PARA SOLUCIÓN ORAL,93124,72
348,SALES PARA REHIDRATACIÓN ORAL-60 POLVO PARA SOLUCIÓN ORAL,26829,28
349,ESVIT-C SABOR NARANJA COMPRIMIDOS MASTICABLES 500 mg,53502,83
350,HIPERFLEX MITE COMPRIMIDOS,55283,97
351,DOCIVIN COMPRIMIDOS 10 mg,69374,45
352,SYSTANE SOLUCIÓN OFTÁLMICA,86071,4
353,BRONCOTUSILAN ADULTO SOLUCIÓN ORAL 250 mg/5 mL,11361,53
354,NICODROPS SOLUCIÓN OFTÁLMICA,29857,50
355,ASPIRINA FORTE COMPRIMIDOS 650 mg,51346,46
356,"XUMADOL GRANULADO EFERVESCENTE 1 g, EN SOBRES",76252,63
357,ZINC COMPRIMIDOS 30 mg,57049,81
358,RANITIDINA GRANULADO PARA SUSPENSIÓN ORAL 75 mg/5 mL,50093,32
359,CLORURO DE CALCIO DIHIDRATO SOLUCIÓN INYECTBALE 10%,16925,4
360,"PROFENID GEL TÓPICO 2,5%",13635,84
361,TAPSIN COMPUESTO D.N. CÁPSULAS,56741,56
362,"SICCAFLUID GEL OFTÁLMICO 0,25%",54945,72
363,DESENKIN DESENSIBILIZANTE COLUTORIO,10240,100
364,CAPRIMIDA - D FORTE COMPRIMIDOS RECUBIERTOS,92652,22
365,FLAPEX FORTE COMPRIMIDOS MASTICABLES,88140,8
366,MENTHOLATUM CALORUB PARCHE TÓPICO 10%,49751,12
367,PARACETAMOL COMPUESTO SUSPENSIÓN ORAL,46126,10
368,WINASORB UP FORTE CÁPSULAS BLANDAS,52368,36
369,PANCRIT SABOR NARANJA COMPRIMIDOS DE DISOLUCIÓN BUCAL,56421,57
370,"FASALIMP FORTE SOLUCIÓN NASAL PARA NEBULIZACIÓN 0,9%",56413,0
371,MENTHOLATUM LADY UNGÜENTO TÓPICO,22788,68
372,MENTHOLATUM EXTRA FUERTE UNGÜENTO TÓPICO,26700,21
373,TALCO MENTOLADO 2%,43868,19
374,CORVASOL CÁPSULAS CON MICROGRÁNULOS CON RECUBRIMIENTO ENTÉRICO 100 mg,80260,66
375,IBUPROFENO COMPRIMIDOS 200 mg,78700,74
