ID_MEDICAMENTO,DESCRIPCION,Laboratorio,Condicion_Venta,PRECIO_UNITARIO,FechaCompra,FechaCaducidad,Porcentaje_Efectividad,INVENTARIO
28,PARACETAMOL SUPOSITORIOS 125 mg,BESTPHARMA S.A.,Directa, $63.346,16-09-2021,13-12-2024,95%,100
29,A Y R EMULSIÓN DÉRMICA 5%,LABORATORIOS SMB FARMA S.A.,Directa, $54.033,18-11-2021,08-08-2023,97%,75
30,AYR CON UREA EMULSIÓN TÓPICA 10%,LABORATORIOS SMB FARMA S.A.,Directa, $87.242,07-01-2022,31-12-2026,84%,83
31,AYREMENTOL LOCIÓN TÓPICA,LABORATORIOS SMB FARMA S.A.,Directa, $84.530,12-12-2020,08-03-2026,92%,13
32,DURASOLETS UNGÜENTO OFTÁLMICO,LABORATORIOS SMB FARMA S.A.,Directa, $72.193,16-01-2022,14-08-2025,85%,8
33,GELSOLETS GEL OFTÁLMICO,LABORATORIOS SMB FARMA S.A.,Directa, $27.697,04-02-2022,05-02-2024,86%,6
34,"TETRIZOLINA CLORHIDRATO SOLUCIÓN OFTÁLMICA 0,05%",LABORATORIOS LAFI LTDA.,Directa, $59.001,25-08-2020,25-12-2027,81%,5
35,CORPADEN COMPRIMIDOS,MINTLAB CO. S.A.,Directa, $17.920,23-08-2021,22-09-2023,90%,91
36,BROMHEXINA CLORHIDRATO JARABE 8 mg/5 mL,LABORATORIOS FASA S.A.,Directa, $25.748,12-01-2021,02-09-2026,86%,48
37,BROMHEXINA CLORHIDRATO JARABE 4 mg/5 mL,LABORATORIOS FASA S.A.,Directa, $57.179,23-08-2020,11-04-2027,85%,77
38,"BBDENT GEL TÓPICO 7,5%",LABORATORIO MAVER S.A.,Directa, $24.350,21-03-2022,18-08-2025,88%,47
39,CARISTOP COMPUESTO PASTA DENTAL BIFLUORADA,LABORATORIO MAVER S.A.,Directa, $77.613,15-10-2020,30-11-2027,97%,94
40,CLORHEXIDINA GLUCONATO SOLUCIÓN TÓPICA 4%,LABORATORIO MAVER S.A.,Directa, $19.373,29-08-2020,01-05-2024,95%,17
41,DOLORUB CREMA TÓPICA 5%,LABORATORIO MAVER S.A.,Directa, $74.322,22-03-2022,12-10-2023,94%,59
42,ADFEN COMPRIMIDOS RECUBIERTOS 200 mg,QUÍMICA Y PUBLICIDAD ALFER LTDA.,Directa, $82.762,05-06-2020,27-07-2025,83%,12
43,"ORALGENE COLUTORIO 0,12%",LABORATORIO MAVER S.A.,Directa, $46.730,04-12-2020,13-09-2027,96%,30
44,ORALGENE POLVO PARA SOLUCIÓN BUCAL,LABORATORIO MAVER S.A.,Directa, $74.535,23-12-2021,09-09-2025,80%,46
45,ORALGENE CON XILITOL COMPRIMIDOS MASTICABLES 5 mg,LABORATORIO MAVER S.A.,Directa, $41.015,03-12-2020,27-12-2027,88%,63
46,PROCTOGEL CREMA TÓPICA,LABORATORIO MAVER S.A.,Directa, $58.487,18-12-2020,14-05-2027,89%,42
47,TAPSIN COMPRIMIDOS,LABORATORIO MAVER S.A.,Directa, $11.958,23-03-2021,06-11-2023,96%,49
48,TAPSIN COMPUESTO POLVO PARA SOLUCIÓN ORAL EN SOBRES,LABORATORIO MAVER S.A.,Directa, $48.186,15-04-2020,29-01-2027,85%,97
49,TAPSIN SIN CAFEÍNA PERÍODO MENSTRUAL COMPRIMIDOS,LABORATORIO MAVER S.A.,Directa, $40.501,03-08-2020,18-07-2024,84%,8
50,PARACETAMOL MAS CAFEÍNA CÁPSULAS BLANDAS,FARMACÉUTICA MED - CELL  LTDA.,Directa, $53.216,12-08-2021,29-11-2025,89%,91
51,ARTREN GEL DÉRMICO 1%,MERCK S.A.,Directa, $79.884,11-03-2022,31-01-2024,97%,44
52,CEBION 1000 COMPRIMIDOS EFERVESCENTES 1 g,MERCK S.A.,Directa, $35.852,15-01-2021,07-11-2025,100%,67
53,CEBION 2000 COMPRIMIDOS EFERVESCENTES 2 g,MERCK S.A.,Directa, $11.441,09-05-2021,28-03-2025,92%,10
54,CEBION CALCIO COMPRIMIDOS EFERVESCENTES,MERCK S.A.,Directa, $27.712,08-11-2021,23-01-2027,93%,68
55,NEUROBIONTA COMPRIMIDOS RECUBIERTOS,MERCK S.A.,Directa, $70.061,21-01-2021,02-12-2024,91%,26
56,NUTRIZIMA GRAGEAS,MERCK S.A.,Directa, $24.210,28-12-2020,21-06-2025,87%,62
57,ARTREN GEL DÉRMICO 1%,MERCK S.A.,Directa, $34.332,17-06-2020,09-12-2024,88%,36
58,"FELDENE GEL TÓPICO 0,5%",PFIZER CHILE S.A.,Directa, $77.787,13-11-2021,16-12-2025,88%,21
59,CEBION SOLUCIÓN PARA GOTAS ORALES,MERCK S.A.,Directa, $19.243,13-04-2020,13-04-2025,86%,75
60,CEBION CÁLCICO COMPRIMIDOS EFERVESCENTES,MERCK S.A.,Directa, $31.233,31-12-2019,02-06-2024,89%,87
61,"VISINE SOLUCIÓN OFTÁLMICA 0,5 mg/mL",JOHNSON & JOHNSON PERSONAL CARE CHILE S.A.,Directa, $37.698,16-01-2022,25-09-2023,92%,92
62,LEFKACID COMPRIMIDOS,LABORATORIO ESPECIALIDADES FARMACEUTICAS KNOP S.A.,Directa, $48.487,01-02-2021,05-04-2027,90%,68
63,ILIADIN SOLUCIÓN OFTÁLMICA,MERCK S.A.,Directa, $75.381,30-03-2020,08-07-2026,81%,38
64,SALUBION JARABE,MEPRO S.A.,Directa, $26.702,07-06-2021,18-08-2025,91%,35
65,OBLEAS CHINAS LI-WU-PAT,LABORATORIO MAVER S.A.,Directa, $61.930,01-08-2021,12-09-2023,100%,56
66,PECTOVER JARABE,LABORATORIO MAVER S.A.,Directa, $41.406,16-11-2021,25-02-2025,83%,71
67,CONMEL COMPRIMIDOS 324 mg,LABORATORIOS LAFI LTDA.,Directa, $56.586,29-07-2021,25-11-2025,83%,62
68,PANADOL COMPRIMIDOS MASTICABLES 160 mg,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.,Directa, $73.210,14-12-2020,29-09-2024,82%,49
69,PANADOL ADULTOS PLUS COMPRIMIDOS RECUBIERTOS,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.,Directa, $81.477,12-10-2021,06-01-2026,82%,72
70,PANADOL COMPRIMIDOS EFERVESCENTES 500 mg,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.,Directa, $53.502,27-01-2020,29-02-2024,81%,99
71,CONMEL SUPOSITORIOS 300 mg,LABORATORIOS LAFI LTDA.,Directa, $39.463,06-09-2020,09-09-2027,97%,84
72,IBUEVANOL COMPRIMIDOS RECUBIERTOS 200 mg,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.,Directa, $87.476,12-08-2021,10-12-2023,80%,0
73,ECOTRIN COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 100 mg,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.,Directa, $81.550,30-04-2022,21-05-2026,93%,41
74,"ALCOLEX SOLUCIÓN TÓPICA 0,1%",ITF - LABOMED FARMACÉUTICA LTDA.,Directa, $81.881,16-04-2020,24-10-2026,100%,95
75,CALCIO CM COMPRIMIDOS MASTICABLES,ITF - LABOMED FARMACÉUTICA LTDA.,Directa, $62.792,02-01-2021,29-10-2027,86%,31
76,TRIMAX COMPRIMIDOS,SANOFI-AVENTIS DE CHILE S.A.,Directa, $34.119,12-12-2020,30-01-2026,91%,57
77,MULTIVITAMÍNICO CON MINERALES COMPRIMIDOS RECUBIERTOS,ITF - LABOMED FARMACÉUTICA LTDA.,Directa, $53.318,17-06-2021,15-07-2026,91%,49
78,ZINCOVIT COMPRIMIDOS RECUBIERTOS,ITF - LABOMED FARMACÉUTICA LTDA.,Directa, $17.457,02-11-2020,10-08-2025,93%,95
79,LECHE DE MAGNESIA PHILLIPS REGULAR,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.,Directa, $26.723,13-02-2020,21-04-2027,89%,66
80,ÁCIDO ASCÓRBICO COMPRIMIDOS MASTICABLES 100 mg,LABORATORIOS PRATER S.A.,Directa, $28.765,06-02-2022,14-03-2026,83%,19
81,ÁCIDO ASCÓRBICO COMPRIMIDOS MASTICABLES 500 mg,LABORATORIOS PRATER S.A.,Directa, $52.033,27-12-2019,02-08-2026,88%,43
82,TOCALM PEDIÁTRICO JARABE 15 mg/5 mL,LABORATORIOS PRATER S.A.,Directa, $11.480,11-01-2020,13-03-2024,87%,46
83,"MERPAL GEL TÓPICO 1,16%",LABORATORIOS PRATER S.A.,Directa, $54.262,10-05-2021,18-03-2024,92%,26
84,TOCALM ADULTO JARABE 30 mg/5 mL,LABORATORIOS PRATER S.A.,Directa, $64.648,15-01-2022,10-08-2023,95%,49
85,CLARAGINE COMPRIMIDOS,LABORATORIOS PRATER S.A.,Directa, $55.363,16-12-2020,29-01-2025,87%,72
86,GASOPAX COMPRIMIDOS MASTICABLES,LABORATORIOS PRATER S.A.,Directa, $12.361,19-11-2020,15-06-2025,100%,1
87,AGUA PARA INYECTABLES,LABORATORIO SANDERSON S.A.,Directa, $80.993,02-10-2020,09-12-2026,99%,9
88,VASELINA ESTÉRIL ACEITE TÓPICO,LABORATORIO SANDERSON S.A.,Directa, $86.610,03-03-2022,16-04-2026,99%,47
89,CALADRYL CLEAR LOCIÓN TÓPICA,JOHNSON & JOHNSON PERSONAL CARE CHILE S.A.,Directa, $64.630,01-07-2020,21-08-2027,90%,72
90,CAPRIMIDA COMPRIMIDOS RECUBIERTOS 500 mg,LABORATORIOS RECALCINE S.A.,Directa, $76.331,27-07-2021,06-03-2026,88%,28
91,CAPRIMIDA - D COMPRIMIDOS RECUBIERTOS,LABORATORIOS RECALCINE S.A.,Directa, $50.593,26-07-2020,07-10-2024,98%,10
92,NIOFEN FORTE SUSPENSIÓN ORAL 200 mg/5 mL,LABORATORIOS RECALCINE S.A.,Directa, $38.705,05-10-2020,04-03-2027,92%,55
93,NIOFEN SUSPENSIÓN ORAL 100 mg/5 mL,LABORATORIOS RECALCINE S.A.,Directa, $69.525,12-03-2022,25-10-2025,84%,32
94,PARACETAMOL SOLUCIÓN GOTAS ORALES 100 mg/mL,LABORATORIOS LAFI LTDA.,Directa, $53.901,23-02-2022,23-02-2024,85%,16
95,PURSENID GRAGEAS,NOVARTIS CHILE S.A.,Directa, $17.860,24-12-2019,16-04-2027,84%,91
96,AMBROTOS JARABE 15 mg/5 mL,LABORATORIOS LAFI LTDA.,Directa, $66.340,10-05-2022,10-04-2027,87%,71
97,WINASORB CAPLETAS 500 mg,LABORATORIOS LAFI LTDA.,Directa, $27.277,22-12-2021,06-12-2025,100%,39
98,"DOLOKETAZON GEL 2,5%",LABORATORIOS LAFI LTDA.,Directa, $25.165,06-02-2022,18-08-2026,91%,69
99,NEOGASOL EMULSIÓN PARA GOTAS ORALES 4%,LABORATORIOS LAFI LTDA.,Directa, $57.602,11-12-2020,15-11-2024,85%,56
100,AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL,RECBEN XENERICS FARMACÉUTICA LTDA.,Directa, $61.165,17-07-2021,13-05-2026,95%,28
101,AMBROXOL CLORHIDRATO JARABE FORTE 30 mg/5 mL,RECBEN XENERICS FARMACÉUTICA LTDA.,Directa, $50.130,18-10-2021,16-04-2027,87%,36
102,ZOLBENFLASH COMPRIMIDOS,NOVARTIS CHILE S.A.,Directa, $40.468,03-01-2022,10-04-2027,86%,43
103,IBUPROFENO SUSPENSIÓN ORAL 100 mg/5 mL,RECBEN XENERICS FARMACÉUTICA LTDA.,Directa, $26.880,24-01-2021,06-12-2025,89%,17
104,BENYLIN JARABE,JOHNSON & JOHNSON PERSONAL CARE CHILE S.A.,Directa, $76.718,26-01-2020,18-08-2026,84%,68
105,ÁCIDO ACETILSALICÍLICO COMPRIMIDOS RECUBIERTOS 324 mg,LABORATORIOS ANDRÓMACO S.A.,Directa, $70.379,23-11-2021,15-11-2024,99%,85
106,ACTIVATOR COMPRIMIDOS RECUBIERTOS,LABORATORIOS ANDRÓMACO S.A.,Directa, $38.999,10-05-2022,13-05-2026,94%,12
107,ALITEN SOLUCIÓN TÓPICA,LABORATORIOS ANDRÓMACO S.A.,Directa, $49.744,10-04-2022,16-04-2027,100%,96
108,HIDRÓXIDO DE ALUMINIO GEL COMPRIMIDOS 500 mg,LABORATORIOS ANDRÓMACO S.A.,Directa, $15.039,28-10-2021,10-04-2027,96%,83
109,COTIBIN FLU POLVO PARA SOLUCIÓN ORAL,LABORATORIOS ANDRÓMACO S.A.,Directa, $40.106,04-12-2019,06-12-2025,87%,5
110,"DURANIL SOLUCIÓN BUCAL 0,1%",JOHNSON & JOHNSON PERSONAL CARE CHILE S.A.,Directa, $26.374,08-04-2022,18-08-2026,97%,62
111,CLARIMIR PLUS SOLUCIÓN OFTÁLMICA,LABORATORIOS ANDRÓMACO S.A.,Directa, $87.722,26-12-2019,15-11-2024,96%,41
112,CROTAMITON CREMA 10%,LABORATORIOS ANDRÓMACO S.A.,Directa, $69.297,05-01-2020,13-05-2026,91%,48
113,CROTAMITON LOCIÓN 10%,LABORATORIOS ANDRÓMACO S.A.,Directa, $63.158,09-03-2021,16-04-2027,90%,41
114,"PSYLLIUM PULVERIZADO + VASELINA LÍQUIDA MICROENCAPSULADA, POLVO PARA SUSPENSIÓN ORAL",LABORATORIOS ANDRÓMACO S.A.,Directa, $53.289,08-04-2021,10-04-2027,80%,71
115,ELCAL - D CÁPSULAS,LABORATORIOS ANDRÓMACO S.A.,Directa, $85.994,20-06-2021,06-12-2025,100%,80
116,ELISARN LOCIÓN 5%,LABORATORIOS ANDRÓMACO S.A.,Directa, $64.670,04-03-2022,18-08-2026,85%,15
117,FLOGOJET GEL TÓPICO 5%,LABORATORIOS ANDRÓMACO S.A.,Directa, $29.766,08-05-2022,15-11-2024,97%,41
118,FLUCRIT COMPRIMIDOS,LABORATORIOS ANDRÓMACO S.A.,Directa, $50.842,07-04-2020,13-05-2026,94%,72
119,FLUIBRON SOLUCIÓN PARA GOTAS ORALES,LABORATORIOS ANDRÓMACO S.A.,Directa, $64.297,07-12-2019,16-04-2027,85%,80
120,FLUJOCER COMPRIMIDOS RECUBIERTOS 324 mg,LABORATORIOS ANDRÓMACO S.A.,Directa, $69.568,11-11-2021,10-04-2027,96%,36
121,GASORBOL COMPRIMIDOS MASTICABLES 100 mg,LABORATORIOS ANDRÓMACO S.A.,Directa, $89.647,25-04-2021,06-12-2025,88%,3
122,KILNITS CREMA 1%,LABORATORIOS ANDRÓMACO S.A.,Directa, $24.141,04-08-2021,18-08-2026,86%,78
123,KILNITS SHAMPOO 1%,LABORATORIOS ANDRÓMACO S.A.,Directa, $73.251,26-12-2021,15-11-2024,83%,97
124,KIN CREMA 5%,LABORATORIOS ANDRÓMACO S.A.,Directa, $51.464,10-05-2020,13-05-2026,91%,69
125,KIN GEL 5%,LABORATORIOS ANDRÓMACO S.A.,Directa, $17.264,14-03-2021,16-04-2027,100%,78
126,METAMIZOL SÓDICO 300 mg COMPRIMIDOS,LABORATORIOS ANDRÓMACO S.A.,Directa, $44.322,20-10-2021,10-04-2027,92%,40
127,METAMIZOL SÓDICO (DIPIRONA) SUPOSITORIOS 250 mg,LABORATORIOS ANDRÓMACO S.A.,Directa, $40.956,27-12-2020,06-12-2025,88%,71
128,PARACETAMOL CON ÁCIDO ACETILSALICÍLICO Y CAFEÍNA COMPRIMIDOS RECUBIERTOS,LABORATORIOS ANDRÓMACO S.A.,Directa, $46.441,25-08-2020,18-08-2026,100%,9
129,PARACETAMOL  JARABE 120 mg/5 mL,LABORATORIOS ANDRÓMACO S.A.,Directa, $73.370,22-04-2021,15-11-2024,97%,8
130,PEDIADERM POMADA,LABORATORIOS ANDRÓMACO S.A.,Directa, $30.128,05-04-2020,13-05-2026,99%,11
131,POVIDONA YODADA 10% SOLUCIÓN ESPUMANTE,LABORATORIOS ANDRÓMACO S.A.,Directa, $71.330,01-12-2021,16-04-2027,80%,24
132,POLIVITAMÍNICO CON MINERALES JARABE,LABORATORIOS ANDRÓMACO S.A.,Directa, $58.772,16-06-2021,10-04-2027,90%,68
133,MAPROMIL COMPRIMIDOS RECUBIERTOS,LABORATORIOS ANDRÓMACO S.A.,Directa, $29.776,01-02-2020,06-12-2025,88%,92
134,POLIVITAMÍNICO JARABE,LABORATORIOS ANDRÓMACO S.A.,Directa, $33.702,26-04-2021,18-08-2026,91%,95
135,REGEDERM POMADA,LABORATORIOS ANDRÓMACO S.A.,Directa, $84.798,08-04-2020,15-11-2024,89%,4
136,"HIDRATANTE ORAL, SOLUCIÓN",LABORATORIOS ANDRÓMACO S.A.,Directa, $66.649,08-01-2021,13-05-2026,93%,77
137,SALES PARA REHIDRATACIÓN 60 POLVO PARA SOLUCIÓN ORAL,LABORATORIOS ANDRÓMACO S.A.,Directa, $39.783,08-02-2022,16-04-2027,83%,41
138,SEDOTUS JARABE,LABORATORIOS ANDRÓMACO S.A.,Directa, $81.282,12-06-2020,10-04-2027,93%,17
139,TIFEN PEDIÁTRICO SUSPENSIÓN ORAL 100 mg/5 mL,LABORATORIOS ANDRÓMACO S.A.,Directa, $53.607,23-03-2020,06-12-2025,80%,37
140,VITACAR CÁPSULAS,LABORATORIOS ANDRÓMACO S.A.,Directa, $42.441,01-10-2021,18-08-2026,83%,44
141,FITIBRONC JARABE,LABORATORIOS GARDEN HOUSE FARMACÉUTICA S.A.,Directa, $44.466,05-05-2020,15-11-2024,87%,48
142,HANSAPLAST APÓSITO 40%,BEIERSDORF S.A.,Directa, $87.972,19-03-2020,13-05-2026,98%,9
143,HANSAPLAST PARCHE AL 40%,BEIERSDORF S.A.,Directa, $78.156,22-02-2021,16-04-2027,82%,2
144,CARBAMIDA PEROXIDO GEL TÓPICO 10%,MASTER CARE S.A.,Directa, $40.601,05-03-2022,10-04-2027,96%,92
145,METAPIO FILM SOLUCIÓN TÓPICA,MASTER CARE S.A.,Directa, $45.542,01-06-2021,06-12-2025,89%,28
146,GALUTEC DILUIDO COLUTORIO,MASTER CARE S.A.,Directa, $86.819,10-05-2020,18-08-2026,97%,19
147,CROWNE-F PASTA DENTAL,MASTER CARE S.A.,Directa, $57.372,06-04-2021,15-11-2024,96%,74
148,GEL SALINO ENDONASAL,MASTER CARE S.A.,Directa, $43.633,16-02-2022,13-05-2026,80%,16
149,SEDOFLAX SUSPENSIÓN ORAL PARA GOTAS 40 mg/mL,MASTER CARE S.A.,Directa, $88.312,30-05-2020,16-04-2027,90%,1
150,BROMHEXINA CLORHIDRATO JARABE 4 mg/5 mL,OPKO CHILE S.A.,Directa, $25.898,08-01-2020,10-04-2027,82%,2
151,PARACETAMOL SOLUCIÓN ORAL PARA GOTAS 100 mg/mL,OPKO CHILE S.A.,Directa, $45.335,07-10-2020,06-12-2025,92%,26
152,POMADA AZUFRADA 10%,LABORATORIOS  EUROMED CHILE S.A.,Directa, $66.292,21-10-2020,18-08-2026,97%,25
153,"GLICERINA ADULTOS SUPOSITORIOS 2,9 g",LABORATORIOS  EUROMED CHILE S.A.,Directa, $23.648,15-03-2020,15-11-2024,83%,75
154,"GLICERINA PEDIÁTRICA SUPOSITORIOS 0,875 g",LABORATORIOS  EUROMED CHILE S.A.,Directa, $53.162,27-11-2021,13-05-2026,84%,10
155,TALCO MENTOLADO POLVO TÓPICO 2%,LABORATORIOS  EUROMED CHILE S.A.,Directa, $77.953,10-11-2020,16-04-2027,90%,41
156,PERMETRINA CHAMPÚ PEDICULICIDA 1%,LABORATORIOS  EUROMED CHILE S.A.,Directa, $40.442,04-02-2020,10-04-2027,99%,8
157,ALCOHOL ALCANFORADO 10% P/P,LABORATORIOS  EUROMED CHILE S.A.,Directa, $15.842,09-03-2021,06-12-2025,81%,79
158,"ALCOHOL YODADO SOLUCIÓN TÓPICA 0,25%",LABORATORIOS  EUROMED CHILE S.A.,Directa, $47.291,26-01-2020,18-08-2026,85%,21
159,"ALCOHOL YODADO 0,65%",LABORATORIOS  EUROMED CHILE S.A.,Directa, $57.649,29-08-2020,15-11-2024,100%,42
160,AFTER BITE SOLUCIÓN USO TÓPICO,LABORATORIOS SILESIA S.A.,Directa, $77.783,11-02-2020,13-05-2026,81%,31
161,CARDIASA COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 75 mg,LABORATORIOS SILESIA S.A.,Directa, $53.539,02-04-2020,16-04-2027,83%,66
162,CARDIASA COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 100 mg,LABORATORIOS SILESIA S.A.,Directa, $43.830,24-08-2020,10-04-2027,93%,68
163,CARDIASA COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN RETARDADA 324 mg,LABORATORIOS SILESIA S.A.,Directa, $40.685,17-04-2020,06-12-2025,91%,31
164,GLICERINA ANHIDRA SOLUCIÓN PARA GOTAS ÓTICAS,LABORATORIOS SILESIA S.A.,Directa, $34.895,30-04-2022,18-08-2026,100%,13
165,BREXON UNGÜENTO DÉRMICO,SCHERING-PLOUGH CIA. LTDA.,Directa, $83.854,30-09-2020,15-11-2024,87%,16
166,HEMOSTAT BARRA,LABORATORIOS SILESIA S.A.,Directa, $29.396,07-02-2020,13-05-2026,84%,96
167,SOLARCAINE LOCIÓN TÓPICA.,SCHERING-PLOUGH CIA. LTDA.,Directa, $20.827,31-10-2020,16-04-2027,81%,84
168,NITRATO DE POTASIO 5% GEL DENTAL,LABORATORIOS SILESIA S.A.,Directa, $84.856,10-01-2021,10-04-2027,80%,86
169,NITRATO DE POTASIO 5% PASTA DENTAL,LABORATORIOS SILESIA S.A.,Directa, $65.196,16-03-2020,06-12-2025,83%,32
170,PARACETAMOL/ÁCIDO ACETIL SALICÍLICO COMPRIMIDOS,LABORATORIOS SILESIA S.A.,Directa, $12.740,10-04-2021,18-08-2026,94%,12
171,"SINARTROL CREMA 1,5%",LABORATORIOS SILESIA S.A.,Directa, $44.775,11-03-2020,16-04-2027,83%,44
172,VITAMINAS A Y D2 CREMA TÓPICA,LABORATORIOS SILESIA S.A.,Directa, $31.894,12-08-2020,10-04-2027,89%,32
173,"VITAMINAS A D3, ALANTOÍNA Y CLORURO DE BENZETONIO EMULSIÓN DÉRMICA",LABORATORIOS SILESIA S.A.,Directa, $22.163,31-12-2019,06-12-2025,97%,29
174,POMADA AMARILLA OFTÁLMICA 2%,LABORATORIOS SAVAL S.A.,Directa, $50.007,27-03-2021,18-08-2026,95%,88
175,VITAMINA C 1000 mg COMPRIMIDOS RECUBIERTOS,LABORATORIO EMPROQUIM LTDA.,Directa, $68.851,01-01-2021,15-11-2024,96%,76
176,METAMIZOL SÓDICO SUPOSITORIOS 250 mg,LABORATORIO PASTEUR S.A.,Directa, $70.382,19-05-2022,13-05-2026,83%,97
177,DICLOFENACO SÓDICO GEL TÓPICO 1%,LABORATORIO PASTEUR S.A.,Directa, $86.314,14-09-2020,16-04-2027,80%,50
178,HIDRÓXIDO DE ALUMINIO COMPRIMIDOS MASTICABLES 500 mg,LABORATORIO PASTEUR S.A.,Directa, $42.502,06-05-2021,10-04-2027,89%,37
179,HIDRÓXIDO DE ALUMINIO SUSPENSIÓN ORAL 6%,LABORATORIO PASTEUR S.A.,Directa, $53.127,21-12-2021,06-12-2025,87%,60
