id,descripcion,laboratorio,condicion_venta,precio_unitario,year_compra,year_caducidad,porcentaje_efectividad,Ventas_Totales_Year
1060,TIPAC COMPRIMIDOS RECUBIERTOS 75 mg,Medical International Laboratories Corporation S.A. (MINTLAB  Co. S.A.),Directa,25000,2019,2023,99,466000
1067,ANDURSIL SUSPENSIÓN,NOVARTIS CHILE S.A.,Indirecta,25000,2019,2025,100,344000
1133,PARACETAMOL - ÁCIDO ASCÓRBICO COMPRIMIDOS,ITF - LABOMED FARMACÉUTICA LTDA.,Indirecta,25000,2021,2023,89,340000
1142,MUXOL PEDIÁTRICO JARABE 15 mg/5 mL,EUROLAB LTDA.,Directa,25000,2020,2023,96,456000
1184,CEBION SABOR NARANJA COMPRIMIDOS MASTICABLES 500 mg,MERCK S.A.,Indirecta,25000,2019,2023,84,459000
1200,CARDIOASPIRINA COMPRIMIDOS DE LIBERACIÓN PROLONGADA 100 mg,BAYER S.A.,Indirecta,25000,2021,2023,95,497000
1214,"GLICERINA SUPOSITORIOS 3,5 g",LABORATORIO VALMA LTDA.,Directa,25000,2022,2025,93,423000
1220,POLIVIDONA YODADA POMADA 11%,LABORATORIO PASTEUR S.A.,Directa,25000,2022,2025,82,379000
1239,POLIVIDONA YODADA POMADA AL 11%,LABORATORIOS ANDRÓMACO S.A.,Directa,25000,2022,2025,95,498000
1268,ÁCIDO ACETIL SALICÍLICO COMPRIMIDOS 500 mg,MINTLAB  CO. S.A.,Directa,25000,2019,2024,95,337000
1320,HEADOL INFANTIL COMPRIMIDOS MASTICABLES  160 mg,LABORATORIOS FASA S.A.,Directa,25000,2022,2023,89,502000
1343,BIODIF CÁPSULAS BLANDAS,LABORATORIO BAGÓ DE CHILE S.A.,Directa,25000,2021,2023,87,392000
1381,ASPIRINA C LIMONADA CALIENTE POLVO PARA SOLUCIÓN ORAL EN SOBRES,BAYER S.A.,Indirecta,25000,2022,2024,89,349000
1427,LAXAMALT CÁPSULAS BLANDAS,LABORATORIOS FASA S.A.,Indirecta,25000,2020,2025,85,449000
1470,NAPROXENO GEL TÓPICO 10%,INSTITUTO SANITAS S.A.,Indirecta,25000,2021,2023,89,425000
1511,SIDOLEX COMPRIMIDOS 100 mg,LABORATORIO BAGÓ DE CHILE S.A.,Directa,25000,2020,2023,89,455000
1577,"COMPLEJO ARMÓNICO N° 60, SOLUCIÓN PARA GOTAS ORALES",LABORATORIO SEREY S.A.,Directa,25000,2020,2023,100,420000
1633,AVENA SATIVA D6 GLÓBULOS,LABORATORIO SEREY S.A.,Indirecta,25000,2019,2023,84,464000
1637,CARDUUS MARIANUS D6 GLÓBULOS,LABORATORIO SEREY S.A.,Directa,25000,2019,2025,96,461000
1643,EUPHRASIA D6 GLÓBULOS,LABORATORIO SEREY S.A.,Directa,25000,2020,2024,85,446000
1667,ÁRNICA D12 GLÓBULOS,LABORATORIO HOCHSTETTER S.A.,Directa,25000,2020,2024,85,460000
1676,HOMOIO Nº 5,LABORATORIO HOCHSTETTER S.A.,Indirecta,25000,2020,2025,87,453000
1692,HOMOIO Nº 22,LABORATORIO HOCHSTETTER S.A.,Indirecta,25000,2022,2024,85,449000
1709,HOMOIO Nº 40,LABORATORIO HOCHSTETTER S.A.,Directa,25000,2021,2025,87,397000
1728,HOMOIO Nº 59,LABORATORIO HOCHSTETTER S.A.,Indirecta,25000,2020,2024,97,476000
1765,GLÓBULO COMPUESTO Nº 5 A,KNOP LABORATORIOS S.A.,Indirecta,25000,2021,2024,94,539000
1767,GLÓBULO COMPUESTO Nº 7,KNOP LABORATORIOS S.A.,Directa,25000,2019,2023,93,405000
1768,GLÓBULO COMPUESTO Nº 8,KNOP LABORATORIOS S.A.,Indirecta,25000,2019,2024,83,524000
1793,GLÓBULO COMPUESTO Nº 30,KNOP LABORATORIOS S.A.,Indirecta,25000,2021,2025,88,520000
1858,CHELIDONIUM COMPUESTO SOLUCIÓN ORAL PARA GOTAS,KNOP LABORATORIOS S.A.,Directa,25000,2021,2024,93,493000
1866,ALGAS CON OLIVOS COMPUESTO SOLUCIÓN ORAL PARA GOTAS,KNOP LABORATORIOS S.A.,Directa,25000,2019,2025,94,366000
1870,IGNATIA COMPUESTA D8 SOLUCIÓN ORAL PARA GOTAS,KNOP LABORATORIOS S.A.,Indirecta,25000,2019,2023,91,419000
1878,SABAL SERRUL COMPUESTO I SOLUCIÓN ORAL PARA GOTAS,KNOP LABORATORIOS S.A.,Indirecta,25000,2020,2024,96,349000
1908,QUERCUS TINTURA MADRE SOLUCIÓN ORAL PARA GOTAS,KNOP LABORATORIOS S.A.,Directa,25000,2022,2025,91,496000
1936,KORO 2 COMPRIMIDOS,KNOP LABORATORIOS S.A.,Indirecta,25000,2020,2023,85,533000
1946,HAMAMELIS D6 COMPRIMIDOS,KNOP LABORATORIOS S.A.,Indirecta,25000,2020,2025,97,528000
1947,SULFUR D6 COMPRIMIDOS,KNOP LABORATORIOS S.A.,Indirecta,25000,2021,2023,97,440000
1977,TARAXACUM COMPRIMIDOS,KNOP LABORATORIOS S.A.,Directa,25000,2020,2023,83,340000
1990,SILICEA D6 COMPRIMIDOS,KNOP LABORATORIOS S.A.,Directa,25000,2019,2023,83,377000
2020,GLÓBULOS COMPLEJOS 128,KNOP LABORATORIOS S.A.,Directa,25000,2020,2025,89,389000
2027,GLÓBULOS COMPLEJOS 146,KNOP LABORATORIOS S.A.,Directa,25000,2019,2025,90,377000
2123,SUPRADYN ACTIVE COMPRIMIDOS EFERVECENTES,BAYER S.A.,Directa,25000,2022,2024,90,426000
2154,K.C.M.C. COMPRIMIDOS,LABORATORIO ESPECIALIDADES FARMACÉUTICAS KNOP LTDA.,Directa,25000,2022,2025,93,526000
2169,VALUPASS CÁPSULAS,LABORATORIO ESPECIALIDADES FARMACÉUTICAS KNOP LTDA.,Indirecta,25000,2021,2023,97,362000
2187,TÉ KNOP N°5,FITOLAB KNOP LTDA.,Indirecta,25000,2020,2023,80,361000
2189,TÉ KNOP N°7,FITOLAB KNOP LTDA.,Indirecta,25000,2022,2024,97,524000
2191,TÉ KNOP N°9,FITOLAB KNOP LTDA.,Indirecta,25000,2022,2023,85,396000
2195,TÉ KNOP N°17,FITOLAB KNOP LTDA.,Indirecta,25000,2021,2024,80,529000
2213,"PASSIFLORA EXTRACTO FLUIDO, SOLUCIÓN PARA GOTAS ORALES",KNOP LABORATORIOS S.A.,Directa,25000,2019,2025,94,425000
2229,TÉ ANTIDIARREICO SUPERIOR,CAMBIASO HERMANOS S.A.C.,Directa,25000,2020,2025,96,338000
2232,TÉ KNOP N°15,FITOLAB KNOP LTDA.,Indirecta,25000,2022,2025,89,446000
2240,ARTIC ROOT COMPRIMIDOS 185 mg,JUAN HANCKE OROZCO,Indirecta,25000,2022,2025,91,339000
2244,"EXTRACTOS SECOS DE VALERIANA, PASSIFLORA,TILO Y MELISA CÁPSULAS BLANDAS",INSTITUTO SANITAS S.A.,Indirecta,25000,2019,2025,99,476000
2298,SHAMPOO DE QUASSIA FASA 4%,LABORATORIOS FASA S.A.,Directa,25000,2022,2025,94,440000
2302,GREEN TEA CÁPSULAS 200 mg,LABORATORIOS FASA S.A.,Indirecta,25000,2022,2024,86,360000
2394,HEDERA HELIX L. JARABE 35 mg/ 5 mL,INTERPHARMA S.A.,Indirecta,25000,2022,2025,98,336000
2505,PARACETAMOL SUPOSITORIOS 125 mg,BESTPHARMA S.A.,Indirecta,25000,2021,2024,83,399000
25,TEF-C COMPRIMIDOS EFERVESCENTES 1 g,BESTPHARMA S.A.,Indirecta,24000,2022,2024,86,395000
45,ORALGENE CON XILITOL COMPRIMIDOS MASTICABLES 5 mg,LABORATORIO MAVER S.A.,Directa,24000,2021,2024,89,437000
62,LEFKACID COMPRIMIDOS,LABORATORIO ESPECIALIDADES FARMACEUTICAS KNOP S.A.,Indirecta,24000,2020,2024,97,545000
136,"HIDRATANTE ORAL, SOLUCIÓN",LABORATORIOS ANDRÓMACO S.A.,Directa,24000,2022,2024,92,529000
169,NITRATO DE POTASIO 5% PASTA DENTAL,LABORATORIOS SILESIA S.A.,Directa,24000,2021,2024,90,346000
188,PARACETAMOL SOLUCIÓN PARA GOTAS ORALES 100 mg/mL,LABORATORIO VALMA LTDA.,Directa,24000,2021,2024,94,381000
194,DONEGAL SUSPENSIÓN PARA GOTAS 10 mg/mL,MEDIPHARM LTDA.,Indirecta,24000,2020,2024,91,447000
243,"JABÓN YODADO 1.8 SOLUCIÓN TÓPICA 0,8 %",ECOLAB S.A.,Directa,24000,2022,2024,83,333000
267,"NASAKID SOLUCIÓN NASAL 0,9%",LABORATORIO CHILE S.A.,Directa,24000,2019,2025,98,511000
302,IBUPROFENO SUSPENSIÓN ORAL 100 mg/5 mL,BESTPHARMA S.A.,Indirecta,24000,2020,2023,90,485000
344,IBUPROFENO SUSPENSIÓN ORAL 100 mg/5 mL,Medical International Laboratories Corporation S.A. (MINTLAB  Co. S.A.),Directa,24000,2019,2024,94,520000
351,DOCIVIN COMPRIMIDOS 10 mg,Medical International Laboratories Corporation S.A. (MINTLAB  Co. S.A.),Indirecta,24000,2022,2024,81,489000
387,POLIVITAMÍNICOS COMPRIMIDOS RECUBIERTOS,LABORATORIOS ANDRÓMACO S.A.,Directa,24000,2022,2024,85,526000
408,"ULTRATHON 3M CREMA TÓPICA 31,58%",3M CHILE S.A.,Indirecta,24000,2020,2024,92,548000
450,BISOLVON COMPRIMIDOS 8 mg,BOEHRINGER INGELHEIM LTDA.,Directa,24000,2019,2025,92,482000
456,AGUA ESTÉRIL PARA INYECTABLES,LABORATORIO BIOSANO S.A.,Indirecta,24000,2021,2024,100,442000
471,DOLSOM COMPRIMIDOS DISPERSABLES 500 mg,LABORATORIOS PRATER S.A.,Directa,24000,2020,2023,88,428000
511,GASORBOL PLUS SUSPENSIÓN,LABORATORIOS ANDRÓMACO S.A.,Directa,24000,2021,2024,81,488000
521,"CLORURO DE SODIO SOLUCIÓN NASAL 0,9%",Medical International Laboratories Corporation S.A. (MINTLAB  Co. S.A.),Directa,24000,2020,2023,96,351000
558,NOSCAPINA COMPRIMIDOS 20 mg,LABORATORIO MAVER S.A.,Directa,24000,2019,2024,90,393000
581,FINARTRIT FORTE COMPRIMIDOS,LABORATORIOS GARDEN HOUSE FARMACÉUTICA S.A.,Indirecta,24000,2019,2024,89,435000
636,PARACETAMOL COMPRIMIDOS 500 mg,DROGUERÍA FARMOQUÍMICA DEL PACÍFICO  LTDA.,Indirecta,24000,2019,2024,96,350000
647,IBUPROFENO FORTE SUSPENSIÓN ORAL PEDIÁTRICA 200 mg / 5 mL,LABORATORIO CHILE S.A.,Indirecta,24000,2020,2024,92,342000
682,POLICARBOFILA CÁPSULAS BLANDAS 500 mg,CHEMOPHARMA  S.A.,Directa,24000,2022,2024,97,429000
696,"LÁGRIMAS ARTIFICIALES SOLUCIÓN OFTÁLMICA 0,3%",LABORATORIO BIOSANO S.A.,Directa,24000,2020,2025,100,387000
723,"VISIONAL SOLUCIÓN OFTÁLMICA 0,05%",LABORATORIO MAVER S.A.,Directa,24000,2020,2023,82,510000
738,PARACETAMOL COMPRIMIDOS 500 mg,B Y B FARMACÉUTICA LTDA.,Directa,24000,2020,2024,95,388000
760,NOSCAPINA JARABE 5 mg/5 mL,LABORATORIOS  EUROMED CHILE S.A.,Indirecta,24000,2019,2024,90,341000
766,MULGATOL SIMPLE JALEA ORAL,SANOFI-AVENTIS DE CHILE S.A.,Directa,24000,2021,2025,84,462000
776,CARDIOASPIRINA 325 EC CON RECUBRIMIENTO ENTÉRICO 325 mg,BAYER S.A.,Directa,24000,2021,2025,98,498000
789,DOLORUB GEL DÉRMICO 5%,LABORATORIO MAVER S.A.,Directa,24000,2021,2024,86,535000
808,MEDICASP SHAMPOO 1%,GENOMMA LAB CHILE S.A.,Directa,24000,2021,2024,94,425000
838,NOSCAPINA COMPRIMIDOS 20 mg,INSTITUTO SANITAS S.A.,Indirecta,24000,2022,2024,92,375000
871,WINASORB COMPRIMIDOS 500 mg,LABORATORIOS LAFI LTDA.,Indirecta,24000,2019,2025,89,477000
952,FLAR SOLUCIÓN ORAL PARA GOTAS AL 4%,INSTITUTO SANITAS S.A.,Directa,24000,2020,2025,91,387000
958,METAMIZOL SÓDICO COMPRIMIDOS 300 mg,LABORATORIOS PRATER S.A.,Indirecta,24000,2020,2023,97,460000
969,VASELINA LÍQUIDA ESTÉRIL,LABORATORIO BIOSANO S.A.,Indirecta,24000,2019,2025,96,436000
982,POMADA AZUFRADA 6%,LABORATORIOS  EUROMED CHILE S.A.,Indirecta,24000,2021,2023,80,482000
987,ÁCIDO ACETILSALICÍLICO COMPRIMIDOS 500 mg,LABORATORIO MAVER S.A.,Indirecta,24000,2021,2024,81,498000
997,"ORALGENE COLUTORIO AL 0,1%",LABORATORIO MAVER S.A.,Directa,24000,2019,2024,97,457000
1004,GRANEGAN PASTILLAS 5 mg,BESTPHARMA S.A.,Indirecta,24000,2019,2023,86,496000
1008,DOMINAL COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 324 mg,LABORATORIO CHILE S.A.,Indirecta,24000,2021,2025,82,343000
1030,MULTAMIN C SABOR LIMÓN POLVO EFERVESCENTE 1000 mg EN SOBRES,LABORATORIOS FASA S.A.,Directa,24000,2022,2025,82,443000
1052,MEDINAL CREMA 10%,SCHERING-PLOUGH CIA. LTDA.,Directa,24000,2020,2025,90,445000
1068,"BIALCOL SOLUCIÓN TÓPICA 0,1%",NOVARTIS CHILE S.A.,Directa,24000,2019,2023,98,468000
1126,PARACETAMOL + ÁCIDO ACETILSALICÍLICO + CAFEÍNA COMPRIMIDOS,CHEMOPHARMA  S.A.,Indirecta,24000,2020,2025,81,417000
1151,BRONCOT G.F.T. FORTE JARABE 30 mg/5 mL,LABORATORIOS RECALCINE S.A.,Directa,24000,2021,2025,94,456000
1156,ÁCIDO DEHIDROCÓLICO COMPRIMIDOS 250 mg,RECBEN XENERICS FARMACÉUTICA LTDA.,Directa,24000,2019,2025,98,500000
1163,PARACETAMOL COMPRIMIDOS 500 mg,RECBEN XENERICS FARMACÉUTICA LTDA.,Directa,24000,2022,2023,82,514000
1165,WINASORB SUSPENSIÓN ORAL 250 mg/5 mL,LABORATORIOS LAFI LTDA.,Indirecta,24000,2021,2024,99,475000
1230,ALGIAFIN JARABE 120 mg/5 mL,INTERPHARMA S.A.,Indirecta,24000,2019,2025,87,465000
1231,ALGIAFIN SOLUCIÓN PARA GOTAS ORALES 100 mg/mL,INTERPHARMA S.A.,Directa,24000,2019,2025,87,402000
1240,POLIVIDONA YODADA SOLUCIÓN AL 11%,LABORATORIOS ANDRÓMACO S.A.,Indirecta,24000,2019,2024,86,491000
1244,"VITAMINAS A, D2, ALANTOINA, PAMIDATO 0 Y BENZOFENONA 3 EMULSIÓN DÉRMICA",LABORATORIOS ANDRÓMACO S.A.,Directa,24000,2020,2024,88,362000
1279,VITAMINA A CREMA,LABORATORIO BAGÓ DE CHILE S.A.,Directa,24000,2020,2023,100,365000
1282,DIFEXON POMADA DÉRMICA AL 10%,LABORATORIO BAGÓ DE CHILE S.A.,Directa,24000,2019,2024,96,431000
1339,RANITIDINA COMPRIMIDOS RECUBIERTOS 75 mg,OPKO CHILE S.A.,Indirecta,24000,2022,2024,95,372000
1357,"PERIO - AID GEL DENTAL 0,12%",LABORATORIOS DENTAID S.A.,Directa,24000,2020,2024,97,437000
1379,TEARS NATURALE FREE SOLUCIÓN OFTÁLMICA,ALCON LABORATORIOS  CHILE  LTDA.,Directa,24000,2020,2025,88,538000
1386,LAROTABE CÁPSULAS BLANDAS,BAYER S.A.,Indirecta,24000,2020,2023,87,350000
1406,ESVIT-C COMPRIMIDOS EFERVESCENTES 1.000 mg,LABORATORIO CHILE S.A.,Indirecta,24000,2019,2024,81,544000
1425,CARBOCISTEÍNA CÁPSULAS 375 mg,LABORATORIOS FASA S.A.,Indirecta,24000,2020,2025,89,403000
1460,ACEITE DE HÍGADO DE BACALAO CON ÓXIDO DE ZINC CREMA,INSTITUTO SANITAS S.A.,Indirecta,24000,2021,2024,93,370000
1464,HIDRÓXIDO DE ALUMINIO COMPRIMIDOS 500 mg,INSTITUTO SANITAS S.A.,Directa,24000,2020,2025,88,367000
1471,ORAJEL GEL TÓPICO 10%,INSTITUTO SANITAS S.A.,Indirecta,24000,2019,2024,97,474000
1516,EUROGESIC ADULTO COMPRIMIDOS RECUBIERTOS 275 mg,EUROLAB LTDA.,Indirecta,24000,2019,2025,84,521000
1540,CARDUUS COMPUESTO SOLUCIÓN,KNOP LABORATORIOS S.A.,Directa,24000,2019,2025,98,463000
1543,SALVIA OFFICINALIS COMPUESTA SOLUCIÓN PARA GOTAS ORALES,KNOP LABORATORIOS S.A.,Indirecta,24000,2021,2024,86,471000
1563,"NATRIUM SULFURICUM COMPUESTO, SOLUCIÓN PARA GOTAS ORALES Nº31",ALS DISTRIBUIDORA LIMITADA,Indirecta,24000,2019,2025,86,414000
1566,"PRUNUS COMPUESTO, SOLUCIÓN PARA GOTAS ORALES Nº15",ALS DISTRIBUIDORA LIMITADA,Directa,24000,2022,2023,99,534000
1603,BERBERIS COMPUESTO SOLUCIÓN ORAL PARA GOTAS,Productos Farmacéuticos Heel Chile Ltda.,Indirecta,24000,2022,2023,95,535000
1615,PASSIFLORA TM SOLUCIÓN PARA GOTAS ORALES,Laura Ximena Polanco González,Directa,24000,2022,2025,96,393000
1627,"COMPLEJO ARMÓNICO N° 12, QUEBRACHO COMPUESTO SOLUCIÓN ORAL PARA GOTAS",LABORATORIO SEREY S.A.,Indirecta,24000,2020,2023,81,376000
1657,SPIGELIA D6 GLÓBULOS,LABORATORIO SEREY S.A.,Directa,24000,2020,2025,91,460000
1677,HOMOIO Nº 6,LABORATORIO HOCHSTETTER S.A.,Directa,24000,2020,2023,82,451000
1683,HOMOIO Nº 13,LABORATORIO HOCHSTETTER S.A.,Directa,24000,2022,2025,90,407000
1688,HOMOIO Nº 18,LABORATORIO HOCHSTETTER S.A.,Indirecta,24000,2020,2025,85,459000
1689,HOMOIO Nº 19,LABORATORIO HOCHSTETTER S.A.,Indirecta,24000,2022,2025,89,378000
1701,HOMOIO Nº 31,LABORATORIO HOCHSTETTER S.A.,Directa,24000,2019,2024,97,539000
1740,SIMILIA Nº 111,LABORATORIO HOCHSTETTER S.A.,Directa,24000,2019,2024,87,391000
1775,GLÓBULO COMPUESTO Nº 14,KNOP LABORATORIOS S.A.,Directa,24000,2022,2023,82,335000
1799,GLOBULO COMPUESTO Nº 36,KNOP LABORATORIOS S.A.,Indirecta,24000,2019,2025,99,488000
1849,CRATAEGUS TINTURA MADRE SOLUCIÓN ORAL PARA GOTAS,KNOP LABORATORIOS S.A.,Indirecta,24000,2021,2023,94,531000
1871,FUCUS LYCOPODIUM COMPUESTO SOLUCIÓN ORAL PARA GOTAS,FLAVIA WOLOSZYN Y CIA. LTDA.,Directa,24000,2019,2023,99,429000
1913,SIMILIA Nº 136,LABORATORIO HOCHSTETTER S.A.,Directa,24000,2022,2024,98,493000
1926,FERRUM PHOSPHORICUM D6 COMPRIMIDOS,KNOP LABORATORIOS S.A.,Directa,24000,2021,2023,84,333000
1954,IGNATIA D6 COMPRIMIDOS,KNOP LABORATORIOS S.A.,Indirecta,24000,2019,2024,90,457000
1965,CRATAEGUS COMPRIMIDOS,KNOP LABORATORIOS S.A.,Indirecta,24000,2022,2023,91,375000
1985,SIMILIA Nº 143,LABORATORIO HOCHSTETTER S.A.,Indirecta,24000,2019,2025,100,505000
2025,GLÓBULOS COMPLEJOS 156,KNOP LABORATORIOS S.A.,Directa,24000,2022,2025,91,543000
2043,GRAPHITES COMPUESTA SOLUCIÓN PARA GOTAS ORALES,KNOP LABORATORIOS S.A.,Indirecta,24000,2020,2025,87,387000
2044,NUPHAR LUTEUM COMPUESTO SOLUCIÓN ORAL PARA GOTAS,KNOP LABORATORIOS S.A.,Directa,24000,2021,2024,98,540000
